Sat 14/07/2001 04:00: Success (user = 7.07s system = 0.79s)
Mon 16/07/2001 04:00: Success (user = 7.20s system = 0.91s)
Tue 17/07/2001 04:00: Success (user = 7.04s system = 0.83s)
Wed 18/07/2001 04:00: Success (user = 7.72s system = 0.90s)
Thu 19/07/2001 04:00: Success (user = 7.04s system = 0.82s)
Fri 20/07/2001 04:00: Success (user = 7.23s system = 0.84s)
Sat 21/07/2001 04:00: Success (user = 7.02s system = 0.81s)
Mon 23/07/2001 04:00: Success (user = 6.96s system = 0.89s)
Tue 24/07/2001 04:00: Success (user = 7.27s system = 0.77s)
Wed 25/07/2001 04:00: Success (user = 7.17s system = 0.80s)
Thu 26/07/2001 04:00: Success (user = 7.03s system = 0.90s)
Fri 27/07/2001 04:00: Success (user = 7.16s system = 0.89s)
Sat 28/07/2001 04:00: Success (user = 7.09s system = 0.91s)
Mon 30/07/2001 04:00: Success (user = 7.15s system = 0.80s)
Tue 31/07/2001 04:00: Success (user = 7.27s system = 0.78s)
Wed 01/08/2001 04:00: Success (user = 7.12s system = 0.72s)
Thu 02/08/2001 04:00: Success (user = 7.25s system = 0.91s)
Fri 03/08/2001 04:00: Success (user = 7.42s system = 0.62s)
Wed 08/08/2001 04:00: Success (user = 7.28s system = 0.84s)
Thu 09/08/2001 04:00: Success (user = 7.09s system = 1.01s)
Fri 10/08/2001 04:00: Success (user = 7.26s system = 0.74s)
Sat 11/08/2001 04:00: Success (user = 6.16s system = 0.65s)
Tue 14/08/2001 04:00: Success (user = 6.24s system = 0.48s)
Wed 15/08/2001 04:00: Success (user = 5.36s system = 1.28s)
Thu 16/08/2001 04:00: Success (user = 6.04s system = 0.48s)
Fri 17/08/2001 04:00: Success (user = 6.06s system = 0.61s)
Sat 18/08/2001 04:00: Success (user = 4.89s system = 1.68s)
Mon 20/08/2001 04:00: Success (user = 6.02s system = 0.50s)
Tue 21/08/2001 04:00: Success (user = 5.88s system = 0.66s)
Wed 22/08/2001 04:00: Success (user = 5.91s system = 0.64s)
Thu 23/08/2001 04:00: Success (user = 6.01s system = 0.51s)
Fri 24/08/2001 04:00: Success (user = 5.91s system = 0.70s)
Sat 25/08/2001 04:00: Success (user = 6.29s system = 0.56s)
Mon 27/08/2001 04:00: Success (user = 6.00s system = 0.60s)
Tue 28/08/2001 04:00: Success (user = 6.07s system = 0.82s)
Wed 29/08/2001 04:00: Success (user = 5.98s system = 0.66s)
Thu 30/08/2001 04:00: Success (user = 6.11s system = 0.63s)
Fri 31/08/2001 04:00: Success (user = 6.32s system = 0.50s)
Sat 01/09/2001 04:00: Success (user = 6.10s system = 0.46s)
Mon 03/09/2001 04:00: Success (user = 6.05s system = 0.48s)
Tue 04/09/2001 04:00: Success (user = 5.92s system = 0.65s)
Wed 05/09/2001 04:00: Success (user = 6.11s system = 0.57s)
Thu 06/09/2001 04:00: Success (user = 5.95s system = 0.57s)
Fri 07/09/2001 04:00: Success (user = 6.10s system = 0.53s)
Sat 08/09/2001 04:00: Success (user = 6.08s system = 0.65s)
Mon 10/09/2001 04:00: Success (user = 6.06s system = 0.64s)
Tue 11/09/2001 04:00: Success (user = 6.16s system = 0.63s)
Wed 12/09/2001 04:00: Success (user = 5.70s system = 0.72s)
Thu 13/09/2001 04:00: Success (user = 5.93s system = 0.76s)
Fri 14/09/2001 04:00: Success (user = 6.35s system = 0.57s size = 636	.)
Sat 15/09/2001 04:00: Success (user = 6.09s system = 0.78s size =  321863 total)
Mon 17/09/2001 04:00: Success (user = 6.00s system = 0.60s size =  321863 total)
Tue 18/09/2001 04:00: Success (user = 6.03s system = 0.51s size =  321863 total)
Wed 19/09/2001 11:49: Success (user = 6.11s system = 0.57s size =  321252 total)
Thu 20/09/2001 04:00: Success (user = 6.24s system = 0.51s size =  321421 total)
Fri 21/09/2001 04:00: Failure
Sat 22/09/2001 04:00: Success (user = 6.03s system = 0.61s size =  320301 total)
Mon 24/09/2001 04:00: Success (user = 6.14s system = 0.62s size =  320301 total)
Tue 25/09/2001 04:00: Success (user = 6.02s system = 0.57s size =  320301 total)
Wed 26/09/2001 04:00: Success (user = 6.03s system = 0.64s size =  320301 total)
Thu 27/09/2001 04:00: Success (user = 6.28s system = 0.53s size =  320301 total)
Fri 28/09/2001 04:00: Success (user = 6.15s system = 0.49s size =  320301 total)
Sat 29/09/2001 04:00: Success (user = 6.10s system = 0.61s size =  320301 total)
Mon 01/10/2001 04:00: Success (user = 6.25s system = 0.65s size =  320301 total)
Tue 02/10/2001 04:00: Success (user = 6.13s system = 0.64s size =  320301 total)
Wed 03/10/2001 04:00: Success (user = 5.88s system = 0.63s size =  320301 total)
Thu 04/10/2001 04:00: Success (user = 6.11s system = 0.64s size =  320301 total)
Fri 05/10/2001 04:00: Success (user = 5.91s system = 0.64s size =  320301 total)
Sat 06/10/2001 04:00: Success (user = 6.12s system = 0.53s size =  320301 total)
Mon 08/10/2001 04:00: Success (user = 6.10s system = 0.58s size =  320301 total)
Tue 09/10/2001 04:00: Success (user = 6.24s system = 0.55s size =  320301 total)
Wed 10/10/2001 04:00: Success (user = 5.65s system = 0.47s size =  284224 total)
Thu 11/10/2001 04:00: Success (user = 5.59s system = 0.67s size =  284224 total)
Sat 13/10/2001 04:00: Success (user = 5.62s system = 0.55s size =  284224 total)
Mon 15/10/2001 04:00: Success (user = 5.51s system = 0.68s size =  284224 total)
Tue 16/10/2001 04:00: Success (user = 5.82s system = 0.46s size =  284224 total)
Wed 17/10/2001 04:00: Success (user = 5.60s system = 0.43s size =  284224 total)
Thu 18/10/2001 04:00: Success (user = 5.52s system = 0.62s size =  295443 total)
Fri 19/10/2001 04:00: Success (user = 5.49s system = 0.66s size =  295443 total)
Sat 20/10/2001 04:00: Success (user = 5.49s system = 0.52s size =  295443 total)
Mon 22/10/2001 04:00: Success (user = 5.37s system = 0.64s size =  295443 total)
Tue 23/10/2001 04:00: Success (user = 5.46s system = 0.58s size =  295443 total)
Wed 24/10/2001 04:00: Success (user = 5.47s system = 0.62s size =  295443 total)
Thu 25/10/2001 04:00: Success (user = 5.15s system = 0.67s size =  295443 total)
Fri 26/10/2001 04:00: Success (user = 5.34s system = 0.55s size =  295443 total)
Sat 27/10/2001 04:00: Success (user = 5.28s system = 0.54s size =  295443 total)
Mon 29/10/2001 04:00: Success (user = 5.37s system = 0.41s size =  295443 total)
Tue 30/10/2001 04:00: Success (user = 5.32s system = 0.45s size =  295443 total)
Wed 31/10/2001 04:00: Success (user = 5.28s system = 0.55s size =  295453 total)
Thu 01/11/2001 04:00: Success (user = 5.43s system = 0.59s size =  295453 total)
Fri 02/11/2001 04:00: Success (user = 5.35s system = 0.52s size =  295453 total)
Sat 03/11/2001 04:00: Success (user = 5.29s system = 0.60s size =  295453 total)
Mon 05/11/2001 04:00: Success (user = 5.31s system = 0.57s size =  295453 total)
Tue 06/11/2001 04:00: Failure
Wed 07/11/2001 04:00: Success (user = 5.54s system = 0.62s size =  293144 total)
Thu 08/11/2001 04:00: Success (user = 5.49s system = 0.58s size =  293144 total)
Fri 09/11/2001 04:00: Success (user = 5.68s system = 0.44s size =  298920 total)
Sat 10/11/2001 04:00: Success (user = 5.75s system = 0.47s size =  298920 total)
Mon 12/11/2001 04:00: Success (user = 5.71s system = 0.59s size =  298920 total)
Tue 13/11/2001 04:00: Success (user = 5.71s system = 0.62s size =  298920 total)
Wed 14/11/2001 04:00: Success (user = 5.58s system = 0.52s size =  298920 total)
Thu 15/11/2001 04:00: Success (user = 5.52s system = 0.59s size =  298880 total)
Fri 16/11/2001 04:00: Success (user = 5.56s system = 0.51s size =  298880 total)
Sat 17/11/2001 04:00: Success (user = 5.50s system = 0.58s size =  298880 total)
Mon 19/11/2001 04:00: Success (user = 5.49s system = 0.66s size =  298823 total)
